Horodateur,Catégorie,Type de Question,Question,Réponse,Quelle est la difficulté de la question ? (subjectif),Votre nom,"Est-ce une question Troll ? (réponse sincère attendue, on pourra peut-être en faire un aspect du Trivial)",Nombre de Question
15/01/2020 14:13:51,Géographie (Cartographie & Géographie humaine),Question classique,Quel est le plus grand arrondissement de Paris ?,Le 15eme,2,Clem,Non,3093
15/01/2020 15:19:54,Géographie (Cartographie & Géographie humaine),Question classique,Quel est le plus haut sommet tropical ?,El Huascaran (Perou),5,Félicien,Non,
15/01/2020 15:24:32,Histoire (Politique & Date),Question classique,En quelle année eut lieu le coup d'état de Pinochet au Chili ?,1973,3,Félicien,Non,
15/01/2020 15:28:02,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel écrivain se propose d'étudier l'hérédité via les conséquences de la folie d'Adélaïde Fouque sur sa descendance ?,Emile Zola (Dans Les Rougon-Macquart),3,Félicien,Non,
15/01/2020 15:29:03,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Qui a réalisé Night on Earth (1991) ?,Jim Jarmusch,5,Félicien,Non,
15/01/2020 15:38:03,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quel club détient le record de descente en ligue 2 de football depuis 2000 ?,FC Metz,4,Félicien,Non,
15/01/2020 15:38:37,Géographie (Cartographie & Géographie humaine),Question classique,Quel est le plus grand arrondissement parisien ? (sans compter la superficie des Bois de Boulogne te de Vincennes),Le 15eme,2,Clem,Non,
15/01/2020 15:40:51,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quelle vidéo Youtube francophone a été le plus vue en 2019 ? (hors musique),Le Rap VS Réalité 2 - Mister V,1,Clem,Non,
15/01/2020 15:41:07,Géographie (Cartographie & Géographie humaine),Question classique,Citer 9 des 10 pays frontaliers avec le Bresil,"Argentine, Uruguay, Pérou, France, Paraguay, Bolivie, Venezuela, Suriname, Guyana, Colombie",4,Félicien,Non,
15/01/2020 15:42:22,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Comment appelle-t-on la plus basse couche de l'atmosphère terrestre ?,La troposphère,2,Clem,Non,
15/01/2020 15:43:34,Histoire (Politique & Date),Question classique,Quel jour (férié sur l'île) fut aboli l'esclavage à la Réunion par Sarda Garriga (à 0 jours près) ?,Le 20 décembre 1848,5,Félicien,Non,
15/01/2020 15:46:32,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,A quelle distance se situe un satellite géostationnaire ? (à 250 km près),35 786 km,4,"Clem
",Non,
15/01/2020 15:50:05,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quelle est la profession de Bardamu dans la troisième et dernière partie de Voyage au bout de la nuit ?,Medecin,3,Félicien,Non,
15/01/2020 15:51:54,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Qui étaient les deux chanteurs principaux du groupe Ministère A.M.E.R. ?,Passi et Stomy Bugsy,3,Félicien,Non,
15/01/2020 15:54:47,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)","QCM (séparer les choix avec des "";"" )","Quel langage n'est pas orienté objet ? ""Java"" ""C"" ""Python"" ""OCML"" ""PHP""",C,4,Félicien,Non,
15/01/2020 15:56:27,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quelle fut la longueur de la plus longue étape du Tour de France (à 30km près),"483 km (lors des TDF de 1919 à 1926, reliant Bayonne aux Sables d'Olonnes",4,Félicien,Non,
15/01/2020 15:58:56,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,De quoi FFPJP est-il l’acronyme ?,De la Fédération Française de Pétanque et de Jeu Provençal,3,Clem,Non,
15/01/2020 16:02:33,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"À la pétanque, de combien de temps un joueur dispose-t il pour lancer sa boule ?",1 minute,2,Clem,Non,
15/01/2020 16:04:28,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"À la pétanque, quelle est le diamètre minimale d'une boule réglementaire ?",7.05 cm,4,Clem,Non,
15/01/2020 16:06:39,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"À la pétanque, pour les moins de 12 ans,  quelle est le diamètre minimal autorisée de la boule ?",65 mm contre 70.5 pour les adultes,4,Clem,Non,
15/01/2020 16:10:04,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Molkky, comment appelle-t on la zone délimitée pour effectuer son lancer ?",Le Mölkkaari,5,Clem,Non,
15/01/2020 16:16:54,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,À qui le prix Hugo rend-t il hommage ?,Hugo Gernsback,5,Clem,Non,
15/01/2020 16:21:29,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Combien y a t’il de cheveux sur la tête à Mathieu?,1 (Chanson de Polnareff),3,Léa ,Non,
15/01/2020 16:24:02,Histoire (Politique & Date),Question classique,Quel pape a lancé la première croisade ?,Urbain II ,5,Félicien,Non,
15/01/2020 16:25:19,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,A quelle date le milliard de vues a été dépassé sur Youtube ?,21 decembre 2012,4,Félicien,Non,
15/01/2020 16:30:32,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Dans quelle film apparaît le rappeur Nekfeu au côté de Catherine Deneuve ?,Tout nous sépare,3,Tiéno,Non,
15/01/2020 16:33:45,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Dans le célèbre jeu de société Catane, quels sont les ingrédients nécessaires pour construire une colonie ? ","un bois, un argile, un mouton et un blé",2,Tiéno,Non,
15/01/2020 16:35:20,Histoire (Politique & Date),Question classique,Qui est le père du petit Grégory ?,Jean-Marie Villemin,3,Tiéno,Non,
15/01/2020 16:37:52,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma), Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Qui a réalisé le film d'animation Ghost in the Shell sorti en 1995 ?,Mamoru Oshii,4,Tiéno,Non,
15/01/2020 16:43:27,"Histoire (Politique & Date), Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Au XVIIIe siècle, quelle était la fréquence en Hertz du La3 (à 5 Hertz près) ?  ",410 Hertz,4,Tiéno,Non,
15/01/2020 16:43:39,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)","QCM (séparer les choix avec des "";"" )","Quel joueur a marqué le plus de but en phase finale de coupe du monde de football? 
""Pelé"" ""Just Fontaine"" ""Ronaldo"" ou ""Miroslav Klose""",Miroslav Klose,3,ZazaLeDoc',Non,
15/01/2020 16:52:02,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"En manouche, qui signifie le mot ""moutrave"" ?",déféquer,3,Tiéno,Non,
15/01/2020 16:53:59,Histoire (Politique & Date),Question classique,Qui fut premier ministre en France entre 1976 et 1981? ,Raymond Barre ,3,ZazaLeDoc',Non,
15/01/2020 16:57:39,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Mis à part ""Google"", quel site Internet a enregistré le plus de visite en 2019? ",YouTube,2,ZazaLeDoc',Non,
15/01/2020 17:00:59,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est la propriété d'une projection cartographique conforme ?,Elle conserve les angles.,3,Clem,,
15/01/2020 17:01:07,Géographie (Cartographie & Géographie humaine),Question classique,Quelle ville est la plus peuplée de l'etat du Maryland aux États-Unis ? ,Baltimore,3,ZazaLeDoc',Non,
15/01/2020 17:02:07,Histoire (Politique & Date),Question classique,"Complétez cette phrase : "" plus il y aura de son ... "" ",Plus il y aura de poubelles,2,Tiéno,Oui,
15/01/2020 17:04:26,Géographie (Cartographie & Géographie humaine),Question classique,Comment appelle-t on les cercles que l'on ajoute sur une carte pour observer ses déformations liées au choix de sa projection ?,Les indicatrices de déformation de Tissot.,4,Clem,,
15/01/2020 17:08:03,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui est le seul acteur (ou actrice) à avoir remporté 4 Oscars (meilleur(e) acteur (ice) ou second rôle)? ,Katharine Hepburn,4,ZazaLeDoc',Non,
15/01/2020 17:13:13,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)","QCM (séparer les choix avec des "";"" )","Quel élément chimique occupe la 11eme place du tableau périodique ? 
""Sodium"" ""Aluminium"" ""Calcium"" ou ""Magnésium""",Sodium,3,ZazaLeDoc',Non,
15/01/2020 17:17:53,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est la capital du Liechtenstien ?,Vaduz,2,Tiéno,Non,
15/01/2020 17:22:23,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui a réalisé 6ème sens et Split ?,M. Night Shyamalan,3,Tiéno,Non,
